tidsperiod,indikator,plats,vardegrupp,vardetyp,antal_fall,konfidensintervall_lag,konfidensintervall_hog,varde
2012,330,06,4,4,4429,6.31230058666688,7.82181546661829,7.06705802664258
2017,330,06,4,4,4440,8.44866612932957,10.1553495190735,9.27927927927928
2014,330,07,1,4,4454,7.51805611282376,9.14112664424854,8.32959137853615
2013,330,05,5,4,4480,8.67136318508035,10.3911368149196,9.53125
2017,330,05,5,4,4483,9.65164491473312,11.4482762862932,10.5286638411778
2016,330,07,1,4,4486,7.71992886010106,9.35541665929261,8.53767275969684
2013,330,10,1,4,4555,10.3442694686691,12.1804286652497,11.2623490669594
2014,330,05,5,4,4584,8.89252146883763,10.6100963322095,9.75130890052356
2015,330,05,5,4,4597,8.76276739181852,10.4671651728976,9.61496628235806
2015,330,07,1,4,4608,6.70639414718903,8.22416140836653,7.46527777777778
2015,330,06,4,4,4666,6.60222806002522,8.09987224001764,7.35105015002143
2014,330,05,4,4,4680,7.97114385131749,9.59295871278507,8.78205128205128
2013,330,07,1,4,4692,8.76869041519419,10.4555210085057,9.61210571184996
2014,330,06,4,4,4715,6.85694766681156,8.37104809140689,7.61399787910923
2012,330,05,4,4,4720,7.29489188823885,8.84917590837132,8.07203389830508
2015,330,05,4,4,4804,9.48431923802175,11.2067715196802,10.345545378851
2013,330,06,4,4,4805,6.68822425492043,8.17129707702546,7.42976066597295
2013,330,05,4,4,4817,8.18125965818844,9.79673494426121,8.98899730122483
2016,330,05,4,4,4821,9.39077066225973,11.1029028494598,10.2468367558598
2017,330,05,4,4,4828,9.17810607749046,10.8706672287453,10.0041425020713
2012,330,19,1,4,5719,6.91915332449452,8.29329640447908,7.6062248644868
2016,330,04,1,4,6024,8.01884750221291,9.44463191345774,8.73173970783533
2016,330,22,1,4,6045,7.06820707211251,8.41566389562943,7.74193548387097
2012,330,04,1,4,6084,9.63713286415648,11.1715456368297,10.4043392504931
2015,330,19,1,4,6135,8.43870429817906,9.88240409627897,9.16055419722901
2013,330,19,1,4,6215,8.42274334999336,9.8556154593389,9.13917940466613
2014,330,04,1,4,6268,8.27427596040116,9.68998696238122,8.98213146139119
2014,330,18,1,4,6273,6.38219013444005,7.64618544343337,7.01418778893671
2017,330,04,1,4,6292,8.10576841479186,9.50488550072837,8.78893833439288
2014,330,19,1,4,6301,8.5063808384189,9.93513638107007,9.22075860974449
2012,330,18,1,4,6320,6.74428737407655,8.03419363858168,7.38924050632911
2013,330,04,1,4,6334,9.31615409162426,10.7975181534026,10.0568361225134
2015,330,04,1,4,6355,8.46417005625771,9.88358761486738,9.17387883556255
2017,330,08,1,4,6399,7.41328365334491,8.74749753043708,8.06375996249414
2017,330,18,1,4,6428,5.57583485917338,6.75011716651712,6.14499066583696
2017,330,22,1,4,6432,7.09122531930468,8.39633105382452,7.72699004975124
2017,330,19,1,4,6442,8.70977338035794,10.1354185840256,9.40701645451723
2015,330,22,1,4,6515,7.47124661048137,8.79889920686321,8.13507290867229
2012,330,24,1,4,6548,9.80867477246914,11.2970063515382,10.5528405620037
2016,330,18,1,4,6549,6.41968548678474,7.6587997781412,7.03924263246297
2015,330,18,1,4,6570,6.74975996256813,8.01431918507266,7.3820395738204
2016,330,19,1,4,6610,8.9255039470837,10.3483235869556,9.63691376701967
2014,330,08,1,4,6649,6.40936349629792,7.63786165034067,7.0236125733193
2016,330,24,1,4,6649,9.41139098721909,10.8623343850173,10.1368626861182
2013,330,18,1,4,6672,6.64619197460237,7.89217732995398,7.26918465227818
2012,330,08,1,4,6675,5.60928869494276,6.76524314026323,6.187265917603
2016,330,08,1,4,6688,6.65895819370368,7.90443893548293,7.2816985645933
2017,330,24,1,4,6703,10.0577524593402,11.5428400421962,10.7862151275548
2012,330,22,1,4,6742,7.16163088178924,8.44204755190996,7.8018392168496
2017,330,03,1,4,6756,11.2999740397578,12.853082305922,12.0633510953227
2015,330,08,1,4,6797,6.82041671169957,8.06850487135177,7.44446079152567
2014,330,22,1,4,6847,7.20604450918414,8.47965725801317,7.84285088359866
2015,330,03,1,4,6888,11.5494426129043,13.1021253313466,12.3257839721254
2013,330,22,1,4,6935,6.65648421967814,7.87848333619785,7.267483777938
